kepoi_name,koi_period,koi_prad,koi_teq,koi_disposition
K05667.01,0.536552,2.698e-06,-2.698e-06,FALSE POSITIVE
K07189.01,0.53665,6.267e-06,-6.267e-06,FALSE POSITIVE
K03132.01,0.53665,2.228e-06,-2.228e-06,FALSE POSITIVE
K07603.01,0.53665,7.98e-06,-7.98e-06,FALSE POSITIVE
K04182.01,0.536651,5.75e-07,-5.75e-07,FALSE POSITIVE
K07944.01,0.536654,2.764e-06,-2.764e-06,FALSE POSITIVE
K06785.01,0.53687,2.694e-06,-2.694e-06,FALSE POSITIVE
K04165.01,0.53711,8.79e-07,-8.79e-07,FALSE POSITIVE
K02796.01,0.537409,1.333e-06,-1.333e-06,CANDIDATE
K03024.01,0.537839,4.016e-06,-4.016e-06,FALSE POSITIVE
K01875.02,0.538354,6.75e-07,-6.75e-07,CONFIRMED
K04162.01,0.539366,1.878e-06,-1.878e-06,FALSE POSITIVE
K07500.01,0.539445,7.5e-08,-7.5e-08,FALSE POSITIVE
K04199.01,0.539915,1.508e-06,-1.508e-06,CONFIRMED
K06549.01,0.540246,0.0001018,-0.0001018,FALSE POSITIVE
K03972.01,0.54029,1.029e-06,-1.029e-06,FALSE POSITIVE
K06539.01,0.541396,2.168e-06,-2.168e-06,FALSE POSITIVE
K07067.01,0.541405,8.1e-08,-8.1e-08,FALSE POSITIVE
K07629.01,0.542123,2.229e-06,-2.229e-06,FALSE POSITIVE
K03164.01,0.542499,8.936e-06,-8.936e-06,FALSE POSITIVE
K07783.01,0.542636,1.569e-06,-1.569e-06,FALSE POSITIVE
K03219.01,0.544562,1.186e-06,-1.186e-06,FALSE POSITIVE
K03054.01,0.544963,1.825e-06,-1.825e-06,FALSE POSITIVE
K02999.01,0.545545,1.963e-06,-1.963e-06,FALSE POSITIVE
K03855.01,0.546248,2.5e-07,-2.5e-07,FALSE POSITIVE
K01021.01,0.546249,8.73e-07,-8.73e-07,FALSE POSITIVE
K06540.01,0.55051,1.489e-06,-1.489e-06,FALSE POSITIVE
K06408.01,0.550538,3.5205e-05,-3.5205e-05,FALSE POSITIVE
K06987.01,0.552142,4.102e-06,-4.102e-06,FALSE POSITIVE
K03997.01,0.552834,8.08e-07,-8.08e-07,FALSE POSITIVE
K01140.01,0.553262,9.3e-08,-9.3e-08,CANDIDATE
K06328.01,0.555974,1.326e-06,-1.326e-06,FALSE POSITIVE
K02735.01,0.558841,7.91e-07,-7.91e-07,CANDIDATE
K07707.01,0.559517,1.377e-06,-1.377e-06,FALSE POSITIVE
K08080.01,0.559644,1.31e-07,-1.31e-07,FALSE POSITIVE
K06495.01,0.561524,6.97e-06,-6.97e-06,FALSE POSITIVE
K06521.01,0.562006,7.204e-06,-7.204e-06,FALSE POSITIVE
K07874.01,0.562274,1.639e-06,-1.639e-06,FALSE POSITIVE
K07009.01,0.562499,3.85e-07,-3.85e-07,FALSE POSITIVE
K02986.01,0.562555,1.564e-06,-1.564e-06,FALSE POSITIVE
K04248.01,0.562564,2.232e-06,-2.232e-06,FALSE POSITIVE
K07692.01,0.562568,4.453e-06,-4.453e-06,FALSE POSITIVE
K05233.01,0.564934,2.47e-07,-2.47e-07,FALSE POSITIVE
K03616.01,0.564934,3.6e-08,-3.6e-08,FALSE POSITIVE
K07489.01,0.565713,2.319e-06,-2.319e-06,CANDIDATE
K01401.01,0.56669,1.515e-06,-1.515e-06,FALSE POSITIVE
K07814.01,0.566717,3.5205e-05,-3.5205e-05,FALSE POSITIVE
K07580.01,0.566764,1.779e-05,-1.779e-05,FALSE POSITIVE
K07813.01,0.566764,1.135e-05,-1.135e-05,FALSE POSITIVE
K07804.01,0.566769,6.334e-06,-6.334e-06,FALSE POSITIVE
K06806.01,0.56678,1.1e-05,-1.1e-05,FALSE POSITIVE
K06843.01,0.566781,6.531e-06,-6.531e-06,FALSE POSITIVE
K07823.01,0.566781,6.202e-06,-6.202e-06,FALSE POSITIVE
K07778.01,0.566782,3.029e-05,-3.029e-05,FALSE POSITIVE
K07575.01,0.566785,6.128e-06,-6.128e-06,FALSE POSITIVE
K06857.01,0.566786,4.835e-06,-4.835e-06,FALSE POSITIVE
K07830.01,0.566787,2.92e-06,-2.92e-06,FALSE POSITIVE
K06812.01,0.566787,6.607e-06,-6.607e-06,FALSE POSITIVE
K07816.01,0.56679,8.635e-06,-8.635e-06,FALSE POSITIVE
K06864.01,0.56679,7.124e-06,-7.124e-06,FALSE POSITIVE
K06825.01,0.56679,3.418e-06,-3.418e-06,FALSE POSITIVE
K06844.01,0.566792,4.145e-06,-4.145e-06,FALSE POSITIVE
K06824.01,0.566792,4.009e-06,-4.009e-06,FALSE POSITIVE
K07807.01,0.566793,9.9e-06,-9.9e-06,FALSE POSITIVE
K06808.01,0.566793,3.219e-06,-3.219e-06,FALSE POSITIVE
K07576.01,0.566793,7.891e-06,-7.891e-06,FALSE POSITIVE
K07806.01,0.566794,2.052e-06,-2.052e-06,FALSE POSITIVE
K07578.01,0.566794,1.998e-06,-1.998e-06,FALSE POSITIVE
K06828.01,0.566794,5.77e-06,-5.77e-06,FALSE POSITIVE
K06822.01,0.566795,5.426e-06,-5.426e-06,FALSE POSITIVE
K06804.01,0.566795,7.736e-06,-7.736e-06,FALSE POSITIVE
K04420.01,0.566795,4.498e-06,-4.498e-06,FALSE POSITIVE
K07822.01,0.566796,6.077e-06,-6.077e-06,FALSE POSITIVE
K06841.01,0.566796,5.428e-06,-5.428e-06,FALSE POSITIVE
K07574.01,0.566796,6.339e-06,-6.339e-06,FALSE POSITIVE
K07817.01,0.566796,4.708e-06,-4.708e-06,FALSE POSITIVE
K07825.01,0.566797,6.996e-06,-6.996e-06,FALSE POSITIVE
K04472.01,0.566797,3.42e-06,-3.42e-06,FALSE POSITIVE
K06811.01,0.566797,4.058e-06,-4.058e-06,FALSE POSITIVE
K06829.01,0.566797,5.997e-06,-5.997e-06,FALSE POSITIVE
K06858.01,0.566798,1.179e-05,-1.179e-05,FALSE POSITIVE
K04866.01,0.566798,6.025e-06,-6.025e-06,FALSE POSITIVE
K07829.01,0.566799,6.075e-06,-6.075e-06,FALSE POSITIVE
K07579.01,0.566799,6.446e-06,-6.446e-06,FALSE POSITIVE
K06805.01,0.566799,3.856e-06,-3.856e-06,FALSE POSITIVE
K07824.01,0.566799,4.303e-06,-4.303e-06,FALSE POSITIVE
K06810.01,0.566799,5.286e-06,-5.286e-06,FALSE POSITIVE
K08130.01,0.566799,1.152e-06,-1.152e-06,FALSE POSITIVE
K06826.01,0.5668,8.941e-06,-8.941e-06,FALSE POSITIVE
K06840.01,0.5668,2.062e-06,-2.062e-06,FALSE POSITIVE
K06856.01,0.5668,4.907e-06,-4.907e-06,FALSE POSITIVE
K06807.01,0.5668,5.565e-06,-5.565e-06,FALSE POSITIVE
K06823.01,0.5668,2.885e-06,-2.885e-06,FALSE POSITIVE
K07577.01,0.5668,5.762e-06,-5.762e-06,FALSE POSITIVE
K04536.01,0.566801,9.703e-06,-9.703e-06,FALSE POSITIVE
K00672.03,0.566801,6.32e-07,-6.32e-07,FALSE POSITIVE
K03174.01,0.566801,1.412e-06,-1.412e-06,FALSE POSITIVE
K04559.01,0.566801,1.52e-06,-1.52e-06,FALSE POSITIVE
K06827.01,0.566801,3.509e-06,-3.509e-06,FALSE POSITIVE
K06821.01,0.566801,5.436e-06,-5.436e-06,FALSE POSITIVE
K06867.01,0.566802,2.94e-06,-2.94e-06,FALSE POSITIVE
K04258.01,0.566802,3.215e-06,-3.215e-06,FALSE POSITIVE
K03163.01,0.566802,5.474e-06,-5.474e-06,FALSE POSITIVE
K06847.01,0.566802,1.799e-06,-1.799e-06,FALSE POSITIVE
K06850.01,0.566802,3.5205e-05,-3.5205e-05,FALSE POSITIVE
K06797.01,0.566802,1.024e-06,-1.024e-06,FALSE POSITIVE
K07573.01,0.566803,5.297e-06,-5.297e-06,FALSE POSITIVE
K06859.01,0.566803,3.546e-06,-3.546e-06,FALSE POSITIVE
K04020.01,0.566803,9.45e-07,-9.45e-07,FALSE POSITIVE
K04718.01,0.566803,4.537e-06,-4.537e-06,FALSE POSITIVE
K06868.01,0.566804,1.708e-06,-1.708e-06,FALSE POSITIVE
K06854.01,0.566804,3.416e-06,-3.416e-06,FALSE POSITIVE
K04339.01,0.566804,4.282e-06,-4.282e-06,FALSE POSITIVE
K04874.01,0.566805,8.317e-06,-8.317e-06,FALSE POSITIVE
K07803.01,0.566806,4.746e-06,-4.746e-06,FALSE POSITIVE
K05355.01,0.566806,3.705e-06,-3.705e-06,FALSE POSITIVE
K03055.01,0.566806,3.5205e-05,-3.5205e-05,FALSE POSITIVE
K07585.01,0.566807,3.407e-06,-3.407e-06,FALSE POSITIVE
K07584.01,0.566808,5.572e-06,-5.572e-06,FALSE POSITIVE
K06809.01,0.566809,3.767e-06,-3.767e-06,FALSE POSITIVE
K04518.01,0.566811,5.345e-06,-5.345e-06,FALSE POSITIVE
K06851.01,0.566811,3.091e-06,-3.091e-06,FALSE POSITIVE
K06855.01,0.566811,3.5205e-05,-3.5205e-05,FALSE POSITIVE
K06865.01,0.566812,3.001e-06,-3.001e-06,FALSE POSITIVE
K07815.01,0.566813,5.545e-06,-5.545e-06,FALSE POSITIVE
K06852.01,0.566813,4.78e-06,-4.78e-06,FALSE POSITIVE
K07782.01,0.566814,4.472e-06,-4.472e-06,FALSE POSITIVE
K07811.01,0.566814,5.293e-06,-5.293e-06,FALSE POSITIVE
K07839.01,0.566817,4.545e-06,-4.545e-06,FALSE POSITIVE
K07831.01,0.566817,8.645e-06,-8.645e-06,FALSE POSITIVE
K01747.02,0.566834,3.5205e-05,-3.5205e-05,FALSE POSITIVE
K06930.01,0.567494,2.1e-08,-2.1e-08,FALSE POSITIVE
K01367.01,0.567856,4.46e-07,-4.46e-07,CONFIRMED
K06528.01,0.568188,3.5205e-05,-3.5205e-05,FALSE POSITIVE
K02699.01,0.568875,5.7e-07,-5.7e-07,CONFIRMED
K03821.01,0.569115,1.71e-07,-1.71e-07,FALSE POSITIVE
K02616.01,0.569116,7.45e-07,-7.45e-07,FALSE POSITIVE
K04179.01,0.569961,2.194e-06,-2.194e-06,FALSE POSITIVE
K07691.01,0.570829,1.741e-06,-1.741e-06,FALSE POSITIVE
K07666.01,0.570954,3.429e-06,-3.429e-06,FALSE POSITIVE
K02119.01,0.571038,6.84e-07,-6.84e-07,CONFIRMED
K02831.01,0.571941,1.053e-06,-1.053e-06,FALSE POSITIVE
K06420.01,0.57208,6.5e-08,-6.5e-08,FALSE POSITIVE
K07838.01,0.572514,7.271e-06,-7.271e-06,FALSE POSITIVE
K03204.01,0.572938,2.718e-06,-2.718e-06,CANDIDATE
K06661.01,0.573036,4.2e-08,-4.2e-08,FALSE POSITIVE
K03250.01,0.573709,9.96e-07,-9.96e-07,FALSE POSITIVE
K08027.01,0.573763,6.951e-06,-6.951e-06,FALSE POSITIVE
K07857.01,0.575446,3.5205e-05,-3.5205e-05,FALSE POSITIVE
K02985.01,0.575884,8.36e-07,-8.36e-07,FALSE POSITIVE
K07867.01,0.575925,1.18e-07,-1.18e-07,FALSE POSITIVE
K01251.01,0.576079,7.2e-08,-7.2e-08,FALSE POSITIVE
K06656.01,0.576272,3.5205e-05,-3.5205e-05,FALSE POSITIVE
K02974.01,0.576442,2.5e-06,-2.5e-06,FALSE POSITIVE
K06860.01,0.576732,5.071e-06,-5.071e-06,CANDIDATE
K02409.01,0.577369,3.95e-07,-3.95e-07,CONFIRMED
K07514.01,0.577844,7.61e-07,-7.61e-07,FALSE POSITIVE
K07583.01,0.577911,2.874e-06,-2.874e-06,FALSE POSITIVE
K07876.01,0.579108,8.41e-06,-8.41e-06,FALSE POSITIVE
K07860.01,0.579517,3.629e-06,-3.629e-06,FALSE POSITIVE
K04599.01,0.579771,5.48e-07,-5.48e-07,FALSE POSITIVE
K06926.01,0.580725,3.829e-06,-3.829e-06,FALSE POSITIVE
K04732.01,0.580725,2.536e-06,-2.536e-06,FALSE POSITIVE
K03913.01,0.582895,2.6e-07,-2.6e-07,CANDIDATE
K04529.01,0.584148,1.604e-06,-1.604e-06,FALSE POSITIVE
K02897.01,0.58431,4.46e-07,-4.46e-07,FALSE POSITIVE
K07214.01,0.585941,4.35e-07,-4.35e-07,FALSE POSITIVE
K07089.01,0.586408,3.766e-06,-3.766e-06,FALSE POSITIVE
K04722.01,0.586757,1.637e-06,-1.637e-06,FALSE POSITIVE
K08157.01,0.5873,3.5205e-05,-3.5205e-05,CANDIDATE
K02725.01,0.587471,9.21e-07,-9.21e-07,FALSE POSITIVE
K07350.01,0.587939,4.7e-08,-4.7e-08,FALSE POSITIVE
K02347.01,0.588001,5.82e-07,-5.82e-07,CONFIRMED
K01769.01,0.589049,3.3e-08,-3.3e-08,FALSE POSITIVE
K00787.03,0.589377,6.484e-06,-6.484e-06,CANDIDATE
K04512.01,0.589459,1.658e-06,-1.658e-06,FALSE POSITIVE
K07531.01,0.589753,1.701e-06,-1.701e-06,FALSE POSITIVE
K08058.01,0.590282,4.062e-06,-4.062e-06,FALSE POSITIVE
K02955.01,0.59128,1.335e-06,-1.335e-06,FALSE POSITIVE
K01043.01,0.591915,4.62e-07,-4.62e-07,FALSE POSITIVE
K01631.01,0.592244,9e-08,-9e-08,FALSE POSITIVE
K04629.01,0.592563,6.69e-07,-6.69e-07,FALSE POSITIVE
K07570.01,0.592619,1.642e-06,-1.642e-06,FALSE POSITIVE
K07590.01,0.594004,1.975e-06,-1.975e-06,FALSE POSITIVE
K08090.01,0.594275,4.21e-07,-4.21e-07,FALSE POSITIVE
K03766.01,0.594276,1.52e-07,-1.52e-07,FALSE POSITIVE
K04342.01,0.594311,1.808e-06,-1.808e-06,FALSE POSITIVE
K07528.01,0.595865,3.5205e-05,-3.5205e-05,FALSE POSITIVE
K02808.01,0.596088,7.41e-07,-7.41e-07,FALSE POSITIVE
K04595.01,0.597018,1.076e-06,-1.076e-06,CANDIDATE
K03831.01,0.597933,6.3e-08,-6.3e-08,FALSE POSITIVE
K02799.01,0.597933,2.087e-06,-2.087e-06,FALSE POSITIVE
K04078.01,0.597934,7.86e-07,-7.86e-07,FALSE POSITIVE
K06450.01,0.602278,8.683e-06,-8.683e-06,CANDIDATE
K07747.01,0.603087,1.39e-07,-1.39e-07,FALSE POSITIVE
K07902.01,0.603352,1.281e-06,-1.281e-06,FALSE POSITIVE
K03849.01,0.604359,1.494e-06,-1.494e-06,CANDIDATE
K06675.01,0.604755,9.89e-07,-9.89e-07,FALSE POSITIVE
K03047.01,0.605223,1.552e-06,-1.552e-06,FALSE POSITIVE
K04802.01,0.605556,2.273e-06,-2.273e-06,FALSE POSITIVE
K06487.01,0.607192,2.7e-08,-2.7e-08,FALSE POSITIVE
K03222.01,0.607538,3.993e-06,-3.993e-06,FALSE POSITIVE
K08079.01,0.608075,1.692e-06,-1.692e-06,FALSE POSITIVE
K04836.01,0.608185,1.156e-06,-1.156e-06,FALSE POSITIVE
K06914.01,0.608863,5.8e-08,-5.8e-08,FALSE POSITIVE
K07412.01,0.609125,2.254e-06,-2.254e-06,FALSE POSITIVE
K07196.01,0.609662,2.2e-08,-2.2e-08,FALSE POSITIVE
K07947.01,0.609668,9.17e-06,-9.17e-06,FALSE POSITIVE
K04325.01,0.609927,2.437e-06,-2.437e-06,CANDIDATE
K07477.01,0.612888,4.563e-06,-4.563e-06,FALSE POSITIVE
K02269.01,0.614084,8.17e-07,-8.17e-07,FALSE POSITIVE
K04584.01,0.614702,3.167e-06,-3.167e-06,FALSE POSITIVE
K03842.01,0.614964,7.7e-08,-7.7e-08,FALSE POSITIVE
K07356.01,0.615661,1.128e-05,-1.128e-05,FALSE POSITIVE
K06816.01,0.615787,3.654e-06,-3.654e-06,FALSE POSITIVE
K07906.01,0.616344,3.49e-07,-3.49e-07,FALSE POSITIVE
K04394.01,0.616386,1.104e-06,-1.104e-06,FALSE POSITIVE
K06577.01,0.618061,5.394e-06,-5.394e-06,FALSE POSITIVE
K06574.01,0.618105,8.56e-07,-8.56e-07,CANDIDATE
K04028.01,0.618952,1.97e-07,-1.97e-07,FALSE POSITIVE
K07843.01,0.619023,4.783e-06,-4.783e-06,CANDIDATE
K07057.01,0.619304,3.5205e-05,-3.5205e-05,FALSE POSITIVE
K08044.01,0.619618,3.5205e-05,-3.5205e-05,FALSE POSITIVE
K02724.01,0.62074,1.788e-06,-1.788e-06,FALSE POSITIVE
K04133.01,0.621361,1.311e-06,-1.311e-06,FALSE POSITIVE
K06887.01,0.622304,6.935e-06,-6.935e-06,FALSE POSITIVE
K06354.01,0.622407,3.736e-06,-3.736e-06,FALSE POSITIVE
K03719.01,0.623394,4.1e-08,-4.1e-08,FALSE POSITIVE
K03727.01,0.623442,5e-08,-5e-08,FALSE POSITIVE
K02888.01,0.623442,6.98e-07,-6.98e-07,FALSE POSITIVE
K01384.01,0.624387,6e-08,-6e-08,FALSE POSITIVE
K04063.01,0.624678,2.004e-06,-2.004e-06,FALSE POSITIVE
K02250.02,0.626282,1.041e-06,-1.041e-06,CANDIDATE
K07343.01,0.626432,2.24e-07,-2.24e-07,FALSE POSITIVE
K04359.01,0.629001,4.57e-06,-4.57e-06,CANDIDATE
K06415.01,0.629277,7.62e-07,-7.62e-07,FALSE POSITIVE
K04817.01,0.63054,1.284e-06,-1.284e-06,FALSE POSITIVE
K04489.01,0.631107,1.618e-06,-1.618e-06,FALSE POSITIVE
K01300.01,0.631332,3.41e-07,-3.41e-07,CONFIRMED
K02648.01,0.631795,1.293e-06,-1.293e-06,FALSE POSITIVE
K02901.01,0.633514,1.622e-06,-1.622e-06,FALSE POSITIVE
K02817.01,0.634003,1.22e-06,-1.22e-06,CONFIRMED
K06374.01,0.634131,5.796e-06,-5.796e-06,FALSE POSITIVE
K06799.01,0.634946,8.2e-08,-8.2e-08,FALSE POSITIVE
K01153.01,0.63507,7.1e-08,-7.1e-08,FALSE POSITIVE
K03793.01,0.635442,2.59e-07,-2.59e-07,FALSE POSITIVE
K01184.01,0.635445,2.01e-07,-2.01e-07,FALSE POSITIVE
K00549.02,0.635587,2.14e-06,-2.14e-06,FALSE POSITIVE
K03139.01,0.636244,3.5205e-05,-3.5205e-05,FALSE POSITIVE
K03032.01,0.636425,1.522e-06,-1.522e-06,CONFIRMED
K02934.01,0.637487,1.48e-06,-1.48e-06,FALSE POSITIVE
K00577.02,0.638163,1.922e-06,-1.922e-06,CONFIRMED
K04375.01,0.638438,5.25e-07,-5.25e-07,FALSE POSITIVE
K08254.01,0.638698,3.5205e-05,-3.5205e-05,FALSE POSITIVE
