rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol
7676,4384793,K06413.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,374.319,0.8507,5.96,1.5414e+06,243.21,241,0.79
9005,5709226,K08104.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.05,1,0,0,0,317.995,0.405,7.28,719,2.22,241,0.79
2603,8210018,K02762.01,Kepler-1341 b,CONFIRMED,CANDIDATE,1,0,0,0,0,132.996,0.703,7.436,1275.4,2.51,241,0.8
690,11075279,K01431.01,Unknown,CANDIDATE,CANDIDATE,0.998,0,0,0,0,345.159,0.87,7.5646,5087.9,7.79,241,0.8
3327,7619236,K00682.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,562.173,0.7801,9.8841,5877.8,10.9,241,0.8
6449,8678345,K05560.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,364.951,0.9571,0.636,824,3.69,241,0.8
6375,10394802,K05790.01,Unknown,CANDIDATE,CANDIDATE,0.803,0,0,0,0,178.267,0.886,5.276,1857,3.71,241,0.8
4649,4138008,K04742.01,Kepler-442 b,CONFIRMED,CANDIDATE,0.993,0,0,0,0,112.303,0.248,5.869,502.1,1.3,241,0.79
6284,5262539,K05144.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,491.08,0.4169,7.42,335.6,1.86,241,0.79
7783,4578594,K06429.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,252.164,1.149,23.92,103790,50.74,242,0.81
8423,10586619,K07345.01,Unknown,CANDIDATE,CANDIDATE,0.902,0,0,0,0,377.501,0.033,11.98,541.4,2.16,242,0.81
8522,8971044,K05592.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,482.517,0.0846,14.791,573,2.3,242,0.8
9024,3644631,K07659.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,0,358.962,0.424,23.49,670.8,2.37,242,0.81
4618,8747009,K04880.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,0,0,1,0,410.117,0.243,13.97,216.9,1.41,242,0.81
5020,5817957,K07742.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,1,372.769,0.909,23.27,1157.2,3.66,242,0.81
9236,7900114,K08148.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.097,1,0,0,0,303.912,0.504,15.37,479.5,1.97,242,0.81
4031,8374741,K04330.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,358.102,0.5804,6.393,114,0.95,242,0.81
