rowid,kepoi_name,koi_period,koi_prad,koi_teq
5563,K07817.01,0.566796,4.708e-06,-4.708e-06
5770,K07825.01,0.566797,6.996e-06,-6.996e-06
4387,K04472.01,0.566797,3.42e-06,-3.42e-06
8450,K06811.01,0.566797,4.058e-06,-4.058e-06
7859,K06829.01,0.566797,5.997e-06,-5.997e-06
8356,K06858.01,0.566798,1.179e-05,-1.179e-05
4555,K04866.01,0.566798,6.025e-06,-6.025e-06
5569,K07829.01,0.566799,6.075e-06,-6.075e-06
8315,K07579.01,0.566799,6.446e-06,-6.446e-06
7692,K06805.01,0.566799,3.856e-06,-3.856e-06
5716,K07824.01,0.566799,4.303e-06,-4.303e-06
7695,K06810.01,0.566799,5.286e-06,-5.286e-06
9350,K08130.01,0.566799,1.152e-06,-1.152e-06
8912,K06826.01,0.5668,8.941e-06,-8.941e-06
8466,K06840.01,0.5668,2.062e-06,-2.062e-06
8039,K06856.01,0.5668,4.907e-06,-4.907e-06
8510,K06807.01,0.5668,5.565e-06,-5.565e-06
7803,K06823.01,0.5668,2.885e-06,-2.885e-06
8314,K07577.01,0.5668,5.762e-06,-5.762e-06
8612,K04536.01,0.566801,9.703e-06,-9.703e-06
9397,K00672.03,0.566801,6.32e-07,-6.32e-07
4357,K03174.01,0.566801,1.412e-06,-1.412e-06
4149,K04559.01,0.566801,1.52e-06,-1.52e-06
7805,K06827.01,0.566801,3.509e-06,-3.509e-06
7801,K06821.01,0.566801,5.436e-06,-5.436e-06
8834,K06867.01,0.566802,2.94e-06,-2.94e-06
4023,K04258.01,0.566802,3.215e-06,-3.215e-06
7290,K03163.01,0.566802,5.474e-06,-5.474e-06
8806,K06847.01,0.566802,1.799e-06,-1.799e-06
7981,K06850.01,0.566802,3.5205e-05,-3.5205e-05
7637,K06797.01,0.566802,1.024e-06,-1.024e-06
8312,K07573.01,0.566803,5.297e-06,-5.297e-06
8041,K06859.01,0.566803,3.546e-06,-3.546e-06
3635,K04020.01,0.566803,9.45e-07,-9.45e-07
4245,K04718.01,0.566803,4.537e-06,-4.537e-06
8105,K06868.01,0.566804,1.708e-06,-1.708e-06
8037,K06854.01,0.566804,3.416e-06,-3.416e-06
4073,K04339.01,0.566804,4.282e-06,-4.282e-06
4595,K04874.01,0.566805,8.317e-06,-8.317e-06
5280,K07803.01,0.566806,4.746e-06,-4.746e-06
6612,K05355.01,0.566806,3.705e-06,-3.705e-06
2805,K03055.01,0.566806,3.5205e-05,-3.5205e-05
8319,K07585.01,0.566807,3.407e-06,-3.407e-06
8318,K07584.01,0.566808,5.572e-06,-5.572e-06
8775,K06809.01,0.566809,3.767e-06,-3.767e-06
4290,K04518.01,0.566811,5.345e-06,-5.345e-06
9118,K06851.01,0.566811,3.091e-06,-3.091e-06
8038,K06855.01,0.566811,3.5205e-05,-3.5205e-05
8104,K06865.01,0.566812,3.001e-06,-3.001e-06
5764,K07815.01,0.566813,5.545e-06,-5.545e-06
7982,K06852.01,0.566813,4.78e-06,-4.78e-06
4883,K07782.01,0.566814,4.472e-06,-4.472e-06
9339,K07811.01,0.566814,5.293e-06,-5.293e-06
9429,K07839.01,0.566817,4.545e-06,-4.545e-06
9386,K07831.01,0.566817,8.645e-06,-8.645e-06
4830,K01747.02,0.566834,3.5205e-05,-3.5205e-05
8357,K06930.01,0.567494,2.1e-08,-2.1e-08
726,K01367.01,0.567856,4.46e-07,-4.46e-07
7625,K06528.01,0.568188,3.5205e-05,-3.5205e-05
2596,K02699.01,0.568875,5.7e-07,-5.7e-07
5128,K03821.01,0.569115,1.71e-07,-1.71e-07
2217,K02616.01,0.569116,7.45e-07,-7.45e-07
3979,K04179.01,0.569961,2.194e-06,-2.194e-06
4112,K07691.01,0.570829,1.741e-06,-1.741e-06
3877,K07666.01,0.570954,3.429e-06,-3.429e-06
1742,K02119.01,0.571038,6.84e-07,-6.84e-07
